日付,カテゴリ,発生日時,終了日時,実作業時間(概算),内容（転記用）
2026/04/13,事務・データ処理,09:36,18:32,2:08,"Excel（新規タスク記録表.xlsx）の入力・編集 (09:36～09:54, 11:48～11:49) / PDF（Acrobat-for-Chrome.pdf）の確認 (10:55～10:56) / Excel（20260413_OA予備中古ノートPC2台購入_④稟議書（システム関連,社長決裁）20230701.xlsx）の入力・編集 (11:49～11:59, 13:44～13:52, 15:44～15:45, 17:14～17:15, 18:12～18:32) / Excel（アプリケーション アプリ別(端末機一覧).csv）の入力・編集 (13:44～13:59, 15:09～15:14) / Excel（アプリケーション アプリ別(端末機一覧)2.csv）の入力・編集 (13:59～13:59, 15:18～15:22) / Excel（アプリケーション アプリ別(アプリ一覧)DC.csv）の入力・編集 (15:09～15:14) / Excel（アプリケーション アプリ別(アプリ一覧).csv）の入力・編集 (15:12～15:14) / Excel（アプリケーション アプリ別(端末機一覧)AcrobatDC.csv）の入力・編集 (15:18～15:22) / Excel（アプリケーション アプリ別(端末機一覧)Acrobat.csv）の入力・編集 (15:19～15:22) / Excel（2025年度下期_業績評価シート【3068伊藤健人】.xlsx ）の入力・編集 (15:44～15:49) / Excel（②2025年度下期_多面評価シート（様式①） (1).xlsx ）の入力・編集 (17:15～17:20) / Excel（2025年度下期_業績評価シート【3068伊藤健人】 (2).xlsx ）の入力・編集 (17:15～17:21) / Excel（2025年度下期_業績評価シート【3068伊藤健人】 (2).xlsx）の入力・編集 (17:21～17:21, 17:39～17:44) / Excel（Adobe_Inventory_FWN-026.csv）の入力・編集 (18:24～18:32)"
2026/04/13,情報調査,09:06,20:30,9:34,"Web（Pinterest）の調査 (09:06～09:06, 13:07～13:07, 19:47～19:47) / Web（(538) Pinterest）の調査 (09:06～09:06, 13:07～13:12) / Web（msn.com/ja-jp/news/national/黒スニーカー-発見で強まる事件性-京都小6行方不明で安達家の親しい知人が新証言-行方不明になった週にはすでに刑事が来てた-ご家族みんなが結希くんを愛している/ar-AA20JfTL?ocid=entnewsntp&pc=EDGEESS&cvid=69dc3392d4604aaf9ba01f2b5f8b695f&ei=10 および他 1 ページ）の調査 (09:06～09:11) / Web（MSN および他 1 ページ）の調査 (09:06～09:11) / Web（《""黒スニーカー""発見で強まる事件性》京都小6行方不明で安達家の親しい知人が新証言「行方不明になった週にはすでに刑事が来てた」「ご家族みんなが結希くんを愛している」 および他 1 ページ）の調査 (09:06～09:06, 09:27～09:27, 10:36～10:36, 13:05～13:10) / Web（インフォメーション および他 3 ページ）の調査 (09:07～09:07) / Web（インフォメーション）の調査 (09:07～09:11, 09:31～09:31, 10:38～10:50, 11:07～11:58, 12:51～12:53, 13:36～13:36, 15:43～15:43, 16:07～16:18, 16:35～17:01, 19:50～19:50, 20:30～20:35) / Web（フォルダーの上書きの確認）の調査 (09:20～09:25) / Web（インフォメーション および他 2 ページ）の調査 (09:31～09:36) / Web（アカウントを選択してください）の調査 (09:31～09:31) / Web（ようこそ および他 3 ページ）の調査 (09:31～09:31) / Web（パスキーを使って本人確認を行います）の調査 (09:31～09:36) / Web（パスキーを使って本人確認を行います および他 3 ページ）の調査 (09:31～09:36) ..."
2026/04/14,その他,09:05,17:44,0:51,"契約状況 - My profile ２ - Microsoft? Edge (09:05～09:10) / 契約状況 (09:05～09:10) / 8% 完了 (09:36～09:41) / スタート (11:44～11:44) / 名前の変更 (13:12～13:17) / 並べ替え (13:29～13:31, 15:32～15:37) / 重複の削除 (13:31～13:36) / 1% 完了 (13:55～14:00) / 3% 完了 (13:55～14:00) / 6% 完了 (13:55～14:00) / 9% 完了 (13:55～14:00) / 拡張機能 (16:01～16:04) / 拡張機能 - Google Chrome (16:02～16:07) / 翻訳済み (17:42～17:44)"
2026/04/14,サイボウズ関連,09:05,18:28,5:18,"サイボウズ（forestway.cybozu.com/login?redirect=https%3A%2F%2Fforestway.cybozu.com%2F）の操作 (09:05～09:10) / サイボウズ（トップページ）の操作 (09:05～09:15, 09:32～09:57, 10:20～10:20, 13:56～13:56, 15:35～15:39, 17:02～17:07) / サイボウズ（Cybozu Exporter）の操作 (09:11～09:16) / サイボウズ（Cybozu MBOX Evolution）の操作 (09:12～09:13, 09:29～09:34) / サイボウズ（メール）の操作 (09:12～09:12, 09:32～09:57, 10:20～10:22, 12:30～12:38, 13:42～13:56, 14:45～14:45, 15:33～15:41, 17:41～17:47) / サイボウズ（forestway.cybozu.com/login?redirect=https%3A%2F%2Fforestway.cybozu.com%2Fsettings%2Fprofile および他 1 ページ）の操作 (09:12～09:17) / サイボウズ（個人フォルダ）の操作 (09:16～09:16, 11:39～12:12, 12:57～12:57, 13:17～13:22, 15:03～15:04, 15:41～16:16, 17:02～17:02, 17:41～17:50) / サイボウズ（メッセージの詳細）の操作 (09:16～09:30, 11:39～11:39, 12:12～12:21, 12:56～13:21, 15:03～15:56, 17:41～17:50) / サイボウズ（cybozu_sent_migration）の操作 (09:24～09:26) / サイボウズ（Cybozu MBOX Evolution V3.0）の操作 (09:30～09:35) / サイボウズ（Cybozu Exporter V4.6）の操作 (09:36～09:37) / サイボウズ（メール本文）の操作 (09:38～09:38, 10:21～10:29, 12:29～12:39, 13:11～13:11, 14:25..."
2026/04/14,システム開発,09:02,16:46,1:56,"Antigravityでの「システム開発・改善」の開発・相談 (09:02～09:55, 10:18～10:46, 13:46～13:54, 15:37～15:39, 16:46～16:51)"
2026/04/14,メール対応,09:20,09:57,0:20,"メールの閲覧・作成 (09:20～09:29, 09:56～09:57)"
2026/04/14,事務・データ処理,13:05,17:41,2:03,"Excel（20260413_OA予備中古ノートPC2台購入_④稟議書（システム関連,社長決裁）20230701.xlsx）の入力・編集 (13:05～13:07) / Excel（20260201_ハードウェア一覧.csv）の入力・編集 (13:05～13:08) / Excel（2025年度下期_業績評価シート【3068伊藤健人】 (2).xlsx）の入力・編集 (13:13～13:42, 14:52～14:57, 15:29～15:33, 16:26～16:26, 17:02～17:07) / Excel（ハードウェア一覧.csv）の入力・編集 (13:13～13:13, 14:52～14:57) / Excel（ハードウェア一覧_updated.csv）の入力・編集 (13:13～13:48) / Excel（ハードウェア一覧_Adobe集計版_V2.csv）の入力・編集 (14:55～14:59, 15:28～15:33) / PDF（Acrobat-for-Chrome.pdf）の確認 (16:04～16:04) / PDF（acrobat.adobe.com/dc-chrome-extension/mv/ja/Acrobat-for-Chrome.pdf）の確認 (16:04～16:09) / Excel（管理コンソールメイン画面.csv）の入力・編集 (16:26～16:45, 17:01～17:07, 17:31～17:41) / PDF（FRT組織図-20260401.pdf）の確認 (17:02～17:02) / PDF（FRT組織図-20260401.pdf および他 2 ページ）の確認 (17:02～17:04, 17:31～17:41)"
2026/04/14,情報調査,09:05,17:57,7:21,"Web（インフォメーション）の調査 (09:05～09:15, 09:32～09:57, 10:20～10:20, 11:39～11:39, 13:56～13:56, 15:39～15:44) / Web（サービスの利用ユーザーの設定）の調査 (09:05～09:10) / Web（組織とユーザーの設定）の調査 (09:05～09:15) / Web（ユーザー情報の変更）の調査 (09:05～09:05) / Web（アカウント設定 および他 1 ページ）の調査 (09:12～09:12, 09:32～09:37) / Web（アカウント設定）の調査 (09:12～09:17) / Web（フォルダーの選択）の調査 (09:12～09:13, 09:30～09:56, 10:20～10:20, 13:55～13:55, 15:39～15:44) / Web（インフォメーション および他 1 ページ）の調査 (09:32～09:37) / Web（87% 完了）の調査 (09:36～09:36) / Web（11% 完了）の調査 (09:36～09:36, 13:55～14:00) / Web（12% 完了）の調査 (09:36～09:41) / Web（15% 完了）の調査 (09:36～09:41) / Web（21% 完了）の調査 (09:36～09:41) / Web（25% 完了）の調査 (09:36～09:41) / Web（27% 完了）の調査 (09:36～09:36, 13:55～14:00) / Web（32% 完了）の調査 (09:36～09:41) / Web（36% 完了）の調査 (09:36～09:41) / Web（44% 完了）の調査 (09:36～09:36, 13:55～14:00) / Web（48% 完了）の調査 (09:36～09:41) / Web（51% 完了）の調査 (09:36～09:36, 11:35～11:40) / Web（61% 完了）の調査 (09:36～09:41) / Web（76% 完了）の調査 (09:36～09:41) / Web（81% 完了）の調査 (09:36～09:41) / Web（94% 完了）の調査 (09:36～09:41) / Web（99% 完了）の調査 (09:36～09..."
2026/04/15,その他,10:44,18:33,2:26,"並べ替え (10:44～10:49) / x.com - Google Chrome (12:11～12:11, 16:50～16:55) / X - Google Chrome (12:11～12:22, 16:50～16:55) / 削除の確認 (13:41～13:46) / 作成完了 (13:57～14:05, 14:45～14:47, 15:10～15:15) / Meet (15:03～15:03) / スタート (16:12～16:12, 16:39～16:39, 16:59～17:04) / 2% 完了 (16:26～16:31) / 3% 完了 (16:26～16:31) / 4% 完了 (16:26～16:31) / 6% 完了 (16:26～16:31) / 7% 完了 (16:26～16:31) / 8% 完了 (16:26～16:31) / 仮想メモリ (17:18～17:25) / 9% 完了 (17:39～17:44) / 0% 完了 (18:29～18:32) / 1% 完了 (18:29～18:34) / 5% 完了 (18:32～18:33)"
2026/04/15,サイボウズ関連,09:19,17:25,5:10,"サイボウズ（ワークフロー（最新一覧））の操作 (09:19～09:19, 09:57～10:02) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderIndex および他 2 ページ）の操作 (09:57～10:02) / サイボウズ（個人フォルダ）の操作 (09:57～10:00, 10:16～10:53, 16:36～16:36) / サイボウズ（メッセージの詳細）の操作 (10:00～10:30, 16:36～16:41) / サイボウズ（Cybozu Exporter V5.3）の操作 (10:02～10:02, 13:11～13:14) / サイボウズ（https://forestway.cybozu.com/o/ag.cgi?）の操作 (10:02～10:07) / サイボウズ（トップページ）の操作 (10:10～10:10, 16:36～16:36, 16:54～16:59) / サイボウズ（ファイル管理）の操作 (10:10～10:15) / サイボウズ（ファイルの詳細）の操作 (10:10～10:16) / サイボウズ（メール）の操作 (10:16～10:16, 11:37～11:39, 13:16～13:16, 14:26～14:26, 16:09～16:09, 16:24～16:25, 16:54～16:59) / サイボウズ（メッセージの送信）の操作 (10:17～10:30) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MailIndex&fid=inbox および他 1 ページ）の操作 (11:37～11:42) / サイボウズ（Cybozu MBOX Evolution V3.0）の操作 (13:16～13:18) / サイボウズ（Cybozu MBOX Converter V3.3）の操作 (13:19～13:33) / サイボウズ（cybozu_sent_migration）の操作 (13:25～13:33) / サイボウズ（cybozu_sent_migration(10)）の操作 (13:25～13:30) / サイボウズ（Cybozu MBOX Converter V3.5）の操作 (13:34～13:42) / サイボウズ（C..."
2026/04/15,システム開発,11:37,17:10,2:34,"Antigravityでの「システム開発・改善」の開発・相談 (11:37～11:37, 13:15～14:44, 14:59～15:10, 16:25～16:27, 16:43～17:10)"
2026/04/15,メール対応,10:41,17:12,3:31,"メールの閲覧・作成 (10:41～10:41, 13:24～15:25, 15:42～16:40, 16:59～17:12)"
2026/04/15,事務・データ処理,10:10,17:26,1:30,"PDF（本社内線表(20260402).pdf および他 3 ページ）の確認 (10:10～10:16, 10:53～10:53, 11:18～11:18, 11:37～11:37, 13:48～13:48, 16:10～16:10, 16:36～16:41) / PDF（本社内線表(20260402).pdf）の確認 (10:10～10:15) / Excel（2025年度下期_業績評価シート【3068伊藤健人】 (2).xlsx）の入力・編集 (10:41～10:53, 17:26～17:26) / Excel（ハードウェア一覧_Adobe集計版_V2.csv）の入力・編集 (10:42～10:54, 11:29～11:29, 17:26～17:31) / PDF（acrobat.adobe.com/dc-chrome-extension/mv/ja/Acrobat-for-Chrome.pdf）の確認 (13:45～13:50) / PDF（Acrobat-for-Chrome.pdf）の確認 (13:45～13:50) / PDF（NL5E2630006-0000.pdf）の確認 (15:56～16:04) / PDF（a??c´“a?†a?，a”§a†?.pdf）の確認 (15:56～16:04) / Excel（20260413_OA予備中古ノートPC2台購入_④稟議書（システム関連,社長決裁）20230701.xlsx）の入力・編集 (16:10～16:10, 17:26～17:31) / Excel（新規タスク記録表.xlsx）の入力・編集 (17:26～17:31)"
2026/04/15,情報調査,09:19,18:34,6:52,"Web（(21) Grok / X）の調査 (09:19～09:24) / Web（NotebookLM）の調査 (09:35～09:35, 09:56～10:05, 10:27～10:29) / Web（Creating Notebook...）の調査 (09:35～09:35) / Web（Unified Application Management and Security Policy Framework）の調査 (09:35～09:35, 10:05～10:06, 10:29～10:29, 11:18～11:44) / Web（Untitled notebook）の調査 (09:35～09:40) / Web（まもなく再起動する時間です (推定: 5 分)）の調査 (09:56～10:01) / Web（(21) Grok / X および他 8 ページ）の調査 (10:06～10:06, 13:48～13:53) / Web（EC売上データと外部要因の可視化）の調査 (10:06～10:11) / Web（hostsファイルでサイトアクセスを制限）の調査 (10:06～10:06, 12:22～12:23) / Web（社内SEの仕事なんでも相談）の調査 (10:06～10:27, 11:44～11:44, 12:22～12:27, 13:44～13:49, 15:28～15:51, 16:10～16:19, 17:15～17:42, 18:02～18:34) / Web（名前を付けて保存）の調査 (10:17～10:17, 17:06～17:11) / Web（Google NotebookLM）の調査 (10:27～10:32) / Web（リモート デスクトップ接続）の調査 (10:39～10:41, 13:20～13:24) / Web（192.169.5.5）の調査 (10:39～10:41, 13:21～13:24) / Web（Windows PowerShell）の調査 (10:41～10:41, 17:41～17:46) / Web（デスクトップ\katoTEST2\1. \抽出済み履歴.txt）の調査 (11:37～11:38) / Web（抽出済み履歴.txt）の調査 (11:38～11:43) / Web（「いま」を見つけよう..."
2026/04/16,その他,09:00,22:52,1:22,"スタート (09:00～09:05) / 検索と置換 (14:28～14:54, 15:19～15:46) / Excel (15:15～15:19, 20:25～20:25, 22:52～22:57) / 重複の削除 (15:21～15:26)"
2026/04/16,サイボウズ関連,09:21,22:54,6:07,"サイボウズ（forestway.cybozu.com/login?redirect=https%3A%2F%2Fforestway.cybozu.com%2F）の操作 (09:21～09:26) / サイボウズ（トップページ）の操作 (09:22～09:35, 10:43～10:46, 11:12～11:12, 11:29～11:32, 13:01～13:40, 14:07～14:07, 14:32～14:37, 17:03～17:25, 17:41～17:42) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MyFolderIndex）の操作 (09:22～09:22, 16:37～16:42) / サイボウズ（個人フォルダ）の操作 (09:22～09:22, 10:36～10:36, 11:22～11:22, 13:37～13:37, 14:57～14:57, 16:37～16:52, 17:17～17:17, 18:26～18:26) / サイボウズ（メッセージの詳細）の操作 (09:22～09:22, 10:36～10:36, 16:43～16:52, 17:17～17:17, 18:26～18:47, 20:08～20:08) / サイボウズ（メール）の操作 (09:43～09:47, 10:05～10:12, 10:30～10:55, 11:12～11:32, 13:01～13:41, 14:00～14:14, 14:32～14:43, 15:10～15:10, 16:42～16:42, 17:03～17:27, 17:42～17:42, 20:08～20:08, 22:54～22:59) / サイボウズ（メール本文）の操作 (10:30～10:30, 11:15～11:15, 13:10～13:12, 13:31～13:45, 14:09～14:09, 14:40～14:43, 17:15～17:23, 18:47～18:52) / サイボウズ（forestway.cybozu.com/o/ag.cgi?page=MailIndex&fid=21521 および他 1 ページ）の操作 (10:33～10:38) / サイボウズ（Cybozu Exporter V6.0）の操作 (10:43～10:47) / ..."
2026/04/16,システム開発,09:00,18:47,4:37,"Antigravityでの「システム開発・改善」の開発・相談 (09:00～09:23, 09:44～09:47, 10:05～10:12, 10:29～11:43, 12:45～14:16, 14:36～14:43, 16:42～16:42, 17:04～17:24, 17:41～17:41, 18:47～18:52)"
2026/04/16,メール対応,15:05,18:31,0:26,"メールの閲覧・作成 (15:05～15:10, 16:03～16:09, 18:30～18:31)"
2026/04/16,事務・データ処理,09:21,20:25,4:58,"PDF（acrobat.adobe.com/dc-chrome-extension/mv/ja/Acrobat-for-Chrome.pdf）の確認 (09:21～09:26) / PDF（Acrobat-for-Chrome.pdf）の確認 (09:21～09:23, 10:53～10:53, 16:01～16:06) / Excel（営業部ログ表示結果-20260416133509.csv）の入力・編集 (13:41～14:05) / Excel（管理コンソールメイン画面.csv）の入力・編集 (13:47～14:55, 15:16～15:31, 16:12～16:12, 16:37～16:37, 16:52～17:02, 18:36～19:24, 20:08～20:25) / Excel（Microsoft Visual Basic for Applications）の入力・編集 (13:59～14:15, 14:32～14:32, 15:10～15:18, 16:30～16:30, 18:45～19:00, 19:23～19:24, 19:39～19:39, 20:06～20:24) / Excel（商品部ログ表示結果-20260416133509.csv）の入力・編集 (14:05～14:06) / Excel（商品部ログ表示結果-20260416133509.csvのプロパティ）の入力・編集 (14:06～14:11) / Excel（営業部_ログ検索結果-20260416140900.csv）の入力・編集 (14:10～14:55, 15:14～15:57, 16:12～16:12, 16:30～16:37, 19:04～19:09) / Excel（①社用ノートパソコン管理台帳.xlsx ）の入力・編集 (14:21～14:26, 15:22～15:40, 16:30～16:37, 20:06～20:11) / Excel（新規 Microsoft Excel ワークシート.xlsx）の入力・編集 (15:15～15:20) / Excel（営業部_ログ検索結果-20260416140900.xlsm）の入力・編集 (16:37～16:42) / Excel（営業部_ログ検索結果-20260416140900.xlsm ）の入力・編集 (16:..."
2026/04/16,情報調査,08:59,22:54,8:58,"Web（社内SEの仕事なんでも相談）の調査 (08:59～09:00, 10:53～11:33, 12:40～12:40, 13:47～14:15, 14:30～14:32, 15:10～15:19, 15:58～15:58, 18:41～19:18, 20:05～20:32, 22:52～22:57) / Web（Microsoft Edge の新機能）の調査 (08:59～09:00, 22:54～22:54) / Web（Windows  (C:)のプロパティ）の調査 (09:00～09:05) / Web（acrobatreader ダウンロード）の調査 (09:00～09:00) / Web（Adobe Acrobat Reader (無料の PDF ビューア) をダウンロード）の調査 (09:00～09:01) / Web（Adobe）の調査 (09:00～09:21) / Web（最近のダウンロード履歴）の調査 (09:12～09:17) / Web（Adobe Download Manager）の調査 (09:12～09:17) / Web（Adobe Acrobat Reader インストーラー）の調査 (09:12～09:21) / Web（「Adobe Acrobat : PDF の編集、変換、署名ツール」が追加されました）の調査 (09:21～09:26) / Web（Loading...）の調査 (09:21～09:26) / Web（Adobe Acrobat について 26.0）の調査 (09:21～09:26) / Web（Adobe Acrobat Reader (64-bit)）の調査 (09:21～09:21) / Web（ページの復元）の調査 (09:21～09:26) / Web（accounts.secure.freee.co.jp/sessions/new?redirect_url=https%3A%2F%2Fp.secure.freee.co.jp%2Fusers%2Fafter_login%3Fhash%3D&service_name=payroll&sign_up_url=https%3A%2F%2Faccounts.secure.freee.co.jp%2Fsign_up%3Finitial_service..."
2026/04/17,その他,12:59,18:40,0:46,"アプリ - Google Chrome (12:59～13:05, 13:23～13:28) / スタート (13:01～13:06) / 検索と置換 (14:07～14:28) / Excel (14:10～14:13) / Word (18:40～18:45)"
