日付,時間帯,主な作業・検討内容
2026/04/13,10:00 - 10:59,"Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（メール - サイボウズ Office）の閲覧・調査
Webサイト（forestway.cybozu.com）の閲覧・調査
Webサイト（TEST - t_ito@forest.co.jp）の閲覧・調査
Webサイト（y_tsuda@forest.co.jp）の閲覧・調査
Webサイト（t_ito）の閲覧・調査
Webサイト（受信トレイ - t_ito）の閲覧・調査
Webサイト（【転送】Fwd:）の閲覧・調査
Webサイト（【転送】Fwd: 本日到着分です。）の閲覧・調査
Webサイト（トップページ - サイボウズ Office）の閲覧・調査
「20200702(木)_1530_： ＿加藤孝廣＿_商標登録の件.txt」の操作・実務
「RS-UNO」の操作・実務
「HP 830G8　HDMI　タイプCを外すと画面が移ったままフリーズする。これは何？」の操作・実務
「Perplexity」の操作・実務
「HP Probook 430」の操作・実務
「HP Probook 430G8 中古」の操作・実務"
2026/04/13,11:00 - 11:59,"Webサイト（メール - サイボウズ Office）の閲覧・調査
Antigravityを用いた「システム開発・改善」の開発・相談
「HP Probook 430G8 中古」の操作・実務
「Perplexity」の操作・実務
「HP Elitebook830G8がキートップ、タッチパッドの不具合、 HP Probook 430G8 中古　8GB　16GB　256GB...」の操作・実務
「Windows11 24H2から25H2にならない。」の操作・実務
「Bizメール＆ウェブ プレミアムとBizメール＆ウェブ ビジネスの違いを調べたい。 ECサイトを運営している会社でr3を使用しているが、Gmailにユーザーのメ...」の操作・実務
「March 10, 2026?KB5079473 (OS Builds 26200.8037 and 26100.8037)」の操作・実務
Webサイト（ppl-ai-file-upload.s3.amazonaws.com/web/direct-files/attachments/96922522/09b733ca-f01e-4f71-8865-4b863a9f5271/aspireJi-Neng-Yi-Lan.txt?AWSAccessKeyId=ASIA2F3EMEYEUI2WJJOW&Signature=fgVuL4NYuTYb79TaP%2BIGSQSI2OQ%3D&x-amz-security-token=IQoJb3JpZ2luX2VjELz%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FwEaCXVzLWVhc3QtMSJHMEUCIQCkcUirjLz%2FE0ltX32kJghxFMu0KeK8WJ2SlF2Qvs7WdQIgRtv3EXk3lKSsB%2F1vyOXQZi8Y%2FnVRTwlXL6zOJn4PMOEq%2FAQIhf%2F%2F%2F%2F%2F%2F%2F%2F%2F%2FARABGgw2OTk3NTMzMDk3MDUiDAPxQgKAk3U3a7Qc9CrQBCtW2rlFM4bsiTCcz4k%2BKgi105DRvq27qPpIpjXwhkNB4jp%2BlYfW4oyX6yts%2F6BBgij%2BQ1iNKJVnEGjdOqDVFTgsSUz0nAjaB%2FtzGIXfg0MjxSiS2WMgmDB%2FufFS0qf3qYN2B8%2Bp%2Fc9sHoVGk0cykJXK14EqpQi9Y%2FBOcgYBjiN1LGII5CiQAv2tkXZpcQDhWHoCI7A05f4mSO4ydVnqy32CvVA1BcUdF6iEcwNoHNrDDghfQUzB7hT%2B8qln2PsZgHyrfD0EhR%2BYs4Ygf5LZikjcDeYJUoNOX9YQWXTDMMwSD%2BMLPe8RPdBWg8NQ%2BEZ4zgnYr1Hnz28DbnuVqHVSaTTdNmwTSSLuCE5rtydhfWVE%2BHK2VPKrUuM%2F38HYpGrEKhzeGiRi884o4VRI40qLL5IwMkR9h%2Fh8KoRDhm1hjiXlR6qOEVznpOvYjz2%2BpWEx4BaHL9wIEO8So0z6Ct%2BOjjKMxhVfgcGaUQwBb9g2DSoT5ASFA153ZFaNg1FVpOj1y9re0XVqe9xz6Y%2F78ogRhGwNkEQb7RzM4133nsTPfKlUF%2FdI15SKrPynyfuE%2FomCTnk8d8qnFEijGmTGeTGuxzDex63i2ReBG1do0%2FcjvvOYXhZ7Nq3FnTnUUv86yHJMx2785XhKikDEVvh%2F8fh8U%2F286W%2BlGS8VqSTeO3r8FZYFLR1jTRGXrqDhdKh5G9Lmc3Nt8phf9Ed8XUFCMsHQ02l1GD8snHL4uDY7STDvJ0FkVBZYTlDbLMQkkuMs3Dt52q91G4LnmZBHo0pqy4CTTbIw0YjOzQY6mAHTAxPCb8XiGeU4ieXSTb7T5mOHNJJQKXNUkZPE%2F7PwDzZp7nXNS6Dnf9jfESW6PA%2BnXx%2FXKT4a7q0MZBXLfXO3RurueMyWh4Slv7KGFes2xHFVxnm%2F5IzNprWYcX1XAjpZsykCK2miktF0%2FK3NL4gJNfSg73%2BOtzT4i53ZRLVwNgf4%2BlUkGpi6F5sR11ap%2FVuqBOzqbZaikw%3D%3D&Expires=1773374165 - Comet）の閲覧・調査
「NEC Aspire UX 7.00」の操作・実務
「Aspire UX マニュアル」の操作・実務
「資料・その他 ? Aspire Blog」の操作・実務
「発信者番号に応じて着信先を変える ? Aspire Blog」の操作・実務
「マウスキーボードを2台のPCで切り替えるKVM切り替え機でショートカットキーで切り替えれられるものはUGREENとかである？」の操作・実務
「タッチパッドのドライバーの再インストール手順を知りたい（文書番号：a10055） | 日本HP LIVEサポートナビ」の操作・実務
「support.hp.com/jp-ja/drivers」の操作・実務
「HPR ドライバおよびソフトウェアのダウンロード | HPR サポート」の操作・実務
「HPR ノートブック ドライバおよびソフトウェアのダウンロード | HPR サポート」の操作・実務
「HP EliteBook 830 G8 ノートブック PC (6A3M8AV) ソフトウェアおよびドライバのダウンロード | HPR サポート」の操作・実務
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
Webサイト（ワークフロー（最新一覧） - サイボウズ Office）の閲覧・調査
Webサイト（申請データの作成（申請フォームの選択） - サイボウズ Office）の閲覧・調査
Webサイト（申請データの作成（内容の入力） - サイボウズ Office）の閲覧・調査
Webサイト（ファイル管理 - サイボウズ Office）の閲覧・調査
Webサイト（ファイルの詳細 - サイボウズ Office）の閲覧・調査
Excelファイル（新規タスク記録表.xlsx）のデータ入力・編集
Excelファイル（20260413_OA予備中古ノートPC2台購入_④稟議書（システム関連,社長決裁）20230701.xlsx）のデータ入力・編集"
2026/04/13,12:00 - 12:59,"Webサイト（メール - サイボウズ Office）の閲覧・調査
Antigravityを用いた「システム開発・改善」の開発・相談"
2026/04/13,13:00 - 13:59,"Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（WindowsアプリやAIの活用法、最新ニュース - 窓の杜）の閲覧・調査
「WindowsアプリやAIの活用法、最新ニュース」の操作・実務
Webサイト（「Adobe Acrobat Reader」に緊急のセキュリティ更新、一刻も早いアップデートを - 窓の杜）の閲覧・調査
「「Adobe Acrobat Reader」に緊急のセキュリティ更新、一刻も早いアップデートを」の操作・実務
Webサイト（Gemini）の閲覧・調査
Webサイト（Chrome で Gemini を使用する - コンピューター - Gemini アプリ ヘルプ）の閲覧・調査
「Pinterest」の操作・実務
Webサイト（Pinterest - ピンタレスト）の閲覧・調査
Webサイト（アナリティクスレポートツールを、無料でまとめて比較）の閲覧・調査
Webサイト（Adobe Acrobat Reader ラーニングとサポート）の閲覧・調査
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの送信 - サイボウズ Office）の閲覧・調査
Webサイト（【転送】Fwd: 本日到着分です。）の閲覧・調査
Excelファイル（20260413_OA予備中古ノートPC2台購入_④稟議書（システム関連,社長決裁）20230701.xlsx）のデータ入力・編集
Excelファイル（アプリケーション アプリ別(端末機一覧).csv）のデータ入力・編集
Webサイト（【アップデート情報】窓の杜収録ソフト　4月28日　～「Adobe Acrobat Reader DC」や「UltraVNC」など - 窓の杜）の閲覧・調査
「【アップデート情報】窓の杜収録ソフト　4月28日　～「Adobe Acrobat Reader DC」や「UltraVNC」など」の操作・実務
Webサイト（セキュリティ 脆弱性 - 窓の杜）の閲覧・調査
「セキュリティ 脆弱性」の操作・実務
Excelファイル（アプリケーション アプリ別(端末機一覧)2.csv）のデータ入力・編集"
2026/04/13,14:00 - 14:59,"Webサイト（Adobe Acrobat Reader ラーニングとサポート）の閲覧・調査
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの変更（標題・本文） - サイボウズ Office）の閲覧・調査
Webサイト（スケジュール（グループ週表示） - サイボウズ Office）の閲覧・調査
Webサイト（予定の詳細 - サイボウズ Office）の閲覧・調査
Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（メール - サイボウズ Office）の閲覧・調査"
2026/04/13,15:00 - 15:59,"Webサイト（【転送】Fwd: 本日到着分です。）の閲覧・調査
Webサイト（受信トレイ - t_ito）の閲覧・調査
Webサイト（3.Webミーティング - t_ito）の閲覧・調査
Webサイト（すべてのメール - t_ito@forest.co.jp）の閲覧・調査
Webサイト（t_ito@forest.co.jp）の閲覧・調査
Webサイト（2.システム運営課 - t_ito）の閲覧・調査
Webサイト（CS Improvement Project Meeting Coordination - NotebookLM）の閲覧・調査
「更新登録申請のご案内(多区分)_弊所管理番号：M2008-055」の操作・実務
「進行中: isobe@forest.co.jp さんが、ビデオ通話にあなたを招待しています」の操作・実務
Excelファイル（アプリケーション アプリ別(端末機一覧).csv）のデータ入力・編集
Excelファイル（アプリケーション アプリ別(アプリ一覧)DC.csv）のデータ入力・編集
Excelファイル（アプリケーション アプリ別(アプリ一覧).csv）のデータ入力・編集
Excelファイル（アプリケーション アプリ別(端末機一覧)2.csv）のデータ入力・編集
Excelファイル（アプリケーション アプリ別(端末機一覧)AcrobatDC.csv）のデータ入力・編集
Excelファイル（アプリケーション アプリ別(端末機一覧)Acrobat.csv）のデータ入力・編集
「Book1」の操作・実務
Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
Excelファイル（20260413_OA予備中古ノートPC2台購入_④稟議書（システム関連,社長決裁）20230701.xlsx）のデータ入力・編集
Excelファイル（2025年度下期_業績評価シート【3068伊藤健人】.xlsx ）のデータ入力・編集
Webサイト（1.システム部（福岡） - t_ito）の閲覧・調査
Webサイト（Re: 【重要】「ギガファイル便」の利用禁止措置と各社でのアクセスブロック実施のお願い）の閲覧・調査"
2026/04/13,16:00 - 16:59,"Antigravityを用いた「システム開発・改善」の開発・相談
「Cybozu Email Exporter」の操作・実務
「Cybozu Exporter」の操作・実務
Webサイト（新規事業提案 - サイボウズ Office）の閲覧・調査
Webサイト（メール - サイボウズ Office）の閲覧・調査"
2026/04/13,17:00 - 17:59,"「Cybozu Exporter」の操作・実務
Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（Re: 【重要】「ギガファイル便」の利用禁止措置と各社でのアクセスブロック実施のお願い）の閲覧・調査
Webサイト（受信トレイ - t_ito）の閲覧・調査
Webサイト（1.システム部（福岡） - t_ito）の閲覧・調査
Webサイト（進行中: shimomura@forest.co.jp さんが、ビデオ通話にあなたを招待しています）の閲覧・調査
Webサイト（Meet - zfv-crsz-epk）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
Excelファイル（20260413_OA予備中古ノートPC2台購入_④稟議書（システム関連,社長決裁）20230701.xlsx）のデータ入力・編集
Excelファイル（②2025年度下期_多面評価シート（様式①） (1).xlsx ）のデータ入力・編集
Excelファイル（2025年度下期_業績評価シート【3068伊藤健人】 (2).xlsx ）のデータ入力・編集
Excelファイル（2025年度下期_業績評価シート【3068伊藤健人】 (2).xlsx）のデータ入力・編集"
2026/04/13,18:00 - 18:59,"「Cybozu Exporter」の操作・実務
Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（《黒スニーカー発見で“発覚3時間遅れ”に改めて不満噴出》保護者が明かした“出欠管理システム”「『自分の子どもだったら』と、すごく怖い」【京都・小6男児行方不明】）の閲覧・調査
「開いているファイル」の操作・実務
「hosts」の操作・実務
「タイトルなし」の操作・実務
スクリプト（test.bat - メモ帳）の開発・デバッグ
Webサイト（Gemini）の閲覧・調査
Excelファイル（20260413_OA予備中古ノートPC2台購入_④稟議書（システム関連,社長決裁）20230701.xlsx）のデータ入力・編集
Excelファイル（Adobe_Inventory_FWN-026.csv）のデータ入力・編集
スクリプト（AdobeCheck.bat - メモ帳）の開発・デバッグ
スクリプト（*AdobeCheck.bat - メモ帳）の開発・デバッグ
「\\10.85.33.230\01_全社共有\...\（NAS）伊藤\AdobeAcrobatReaderログ\AdobeCheck_FWN-026.txt」の操作・実務
「\\10.85.33.230\01_全社共有\...\（NAS）伊藤\AdobeAcrobatReaderログ\新規 テキスト ドキュメント.txt」の操作・実務
「\\10.85.33.230\01_全社共有\...\（NAS）伊藤\AdobeAcrobatReaderログ\新規 テキスト ドキュメント.txt(更新)」の操作・実務
Webサイト（2026年4月の記事一覧 - 窓の杜）の閲覧・調査
「2026年4月の記事一覧」の操作・実務
「AdobeCheck_FWN-026.txt」の操作・実務
Webサイト（《""黒スニーカー""発見で強まる事件性》京都小6行方不明で安達家の親しい知人が新証言「行方不明になった週にはすでに刑事が来てた」「ご家族みんなが結希くんを愛している」）の閲覧・調査
Webサイト（22.002.20191 Planned update, Aug 09, 2022 — Acrobat-Acrobat Reader Release Notes）の閲覧・調査
Webサイト（Adobe Acrobat Reader (無料の PDF ビューア) をダウンロード）の閲覧・調査
Webサイト（22.003.20258 Planned update, Oct 11, 2022 — Acrobat-Acrobat Reader Release Notes）の閲覧・調査
Webサイト（Acrobat Enterprise Release Notes — Acrobat-Acrobat Reader Release Notes）の閲覧・調査
Webサイト（旧バージョンAcrobat Readerのインストーラー | heboDJ.net）の閲覧・調査
Webサイト（Adobe - Adobe Acrobat Reader をインストール）の閲覧・調査
Webサイト（Acrobat Reader DCより前のバージョンをインストールする方法 | SEの良心）の閲覧・調査
Webサイト（Acrobat・Acrobat Readerの過去の古いバージョンをダウンロードしてインストールする｜QuickTimer）の閲覧・調査
Webサイト（Acrobat 2020 のダウンロード）の閲覧・調査
「Adobe Reader XI (11.0.08)」の操作・実務
Webサイト（Adobe Acrobat Readerの一括配布 | Adobe Acrobat）の閲覧・調査
Webサイト（Acrobat エンタープライズ版または VIP ライセンスのインストール）の閲覧・調査
Webサイト（Acrobat Reader をインストール）の閲覧・調査
Webサイト（ダウンロードとインストールのヘルプ）の閲覧・調査
Webサイト（アドビアプリケーションのダウンロードとインストール）の閲覧・調査
Webサイト（Adobe Acrobat のダウンロード）の閲覧・調査
Webサイト（Acrobat Reader の旧バージョンをインストールする）の閲覧・調査
「Adobe Acrobat Reader」の操作・実務"
2026/04/13,19:00 - 19:59,"スクリプト（AdobeCheck.bat - メモ帳）の開発・デバッグ
スクリプト（*AdobeCheck.bat - メモ帳）の開発・デバッグ
「Adobe Reader XI (11.0.08)」の操作・実務
「\\10.85.33.230\01_全社共有\...\（NAS）伊藤\AdobeAcrobatReaderログ\AdobeCheck_FWN-026.txt」の操作・実務
「AdobeCheck_FWN-026.txt」の操作・実務
Webサイト（FWN-026）の閲覧・調査
Webサイト（Chrome で Gemini を使用する - コンピューター - Gemini アプリ ヘルプ）の閲覧・調査
Webサイト（Use Gemini in Chrome - Computer - Gemini アプリ ヘルプ）の閲覧・調査
Antigravityを用いた「システム開発・改善」の開発・相談
「Cybozu Exporter」の操作・実務"
2026/04/13,20:00 - 20:59,"Webサイト（FWN-026）の閲覧・調査
「Cybozu Exporter」の操作・実務
Antigravityを用いた「システム開発・改善」の開発・相談
「AdobeCheck_FWN-026.txt」の操作・実務
「\\10.85.33.230\01_全社共有\...\（NAS）伊藤\AdobeAcrobatReaderログ\AdobeCheck_FWN-026.txt」の操作・実務"
2026/04/14,09:00 - 09:59,"Antigravityを用いた「システム開発・改善」の開発・相談
Webサイト（トップページ - サイボウズ Office）の閲覧・調査
Webサイト（ユーザー情報の変更）の閲覧・調査
「Cybozu Exporter」の操作・実務
「Cybozu MBOX Evolution」の操作・実務
Webサイト（個人フォルダ - サイボウズ Office）の閲覧・調査
Webサイト（メッセージの詳細 - サイボウズ Office）の閲覧・調査
Webサイト（進行中: shimomura@forest.co.jp さんが、ビデオ通話にあなたを招待しています）の閲覧・調査
Webサイト（1.システム部（福岡） - t_ito）の閲覧・調査
Webサイト（cybozu_sent_migration - ローカルフォルダー）の閲覧・調査
Webサイト（受信トレイ - ローカルフォルダー）の閲覧・調査
「Cybozu MBOX Evolution V3.0」の操作・実務
Webサイト（メール - サイボウズ Office）の閲覧・調査
「Cybozu Exporter V4.6」の操作・実務
Webサイト（メール本文 - サイボウズ Office）の閲覧・調査
「Cybozu Exporter V4.8」の操作・実務
「Cybozu Exporter V4.9」の操作・実務
「Cybozu Exporter V5.0」の操作・実務
Webサイト（NTTドコモ - t_ito）の閲覧・調査
Webサイト（受信トレイ - t_ito）の閲覧・調査
Webサイト（警告: ファームウェア）の閲覧・調査"
2026/04/14,10:00 - 10:59,"「Cybozu Exporter V5.0」の操作・実務
Antigravityを用いた「システム開発・改善」の開発・相談
「Cybozu Exporter V5.1」の操作・実務
スクリプト（AdobeCheck.bat - メモ帳）の開発・デバッグ
スクリプト（*AdobeCheck.bat - メモ帳）の開発・デバッグ
「\\10.85.33.230\01_全社共有\...\（NAS）伊藤\AdobeAcrobatReaderログ\AdobeCheck_FWN-026.txt」の操作・実務
「AdobeCheck_FWN-026.txt」の操作・実務
「\\10.85.33.230\01_全社共有\...\（NAS）伊藤\AdobeAcrobatReaderログ\新規 テキスト ドキュメント.txt」の操作・実務"
